SN,Company,Vertical,Sub-vertical,Domain,Address,City,PinCode,"Founder edu: 1 others, 2: NIT, 3 : IIT, IIM, MS; ",Founder exp total,Dt of incorporation,Period wef incorporation yrs,Team no,Team tot man yrs exp,Innovation Quotion: 1-5,Awards,Awards details,"Stage: seed 1, POC 2, pilot 3, growth 4",Stage,Money Raised in M$,L Dt money recd,IP Filed/2 + Granted,No. of paid clients,Revenue Rs. Lakhs,Total Rating
64,Charka Technologies Pvt Ltd,Iot,smart city,,Olive Nest Appartment M V Road; Arekkere,Bangalore,560076,,,1-Sep-16,5.1,,,,,,,,,,,,,0.5
65,Fernlink Technologies Pvt Ltd,IoT Platform,Enterprise Solutions,IOT Platform > Enterprise Solution > Cloud Services,"Ataura Business Centers, 99D, 2nd floor, 2nd A Cross Rd, 5th Block Koramangala",Bangalore,560095,1,12,20-Jun-16,5.3,,,1,,,1,Bootstrapped,,,,,,2.0
66,Proche Solutions,Consultancy,HR tech,Consultancy > HR Services,"First Floor, No 14/6, Thamarai Kannan Road, Murphy Town, Ulsoor",Bangalore,560008,,,1-Jan-17,4.8,,,,,,,,,,,,,0.5
67,Grasp Io Innovations Pvt Ltd,IoT Platform,"ADAS, Embedded, and IOT",IOT Platform > IOT Cloud Services,"#5, 1st Floor, 4th Stage, 3rd Block, Basaveshwaranagar",Bangalore,560079,1,9,18-Aug-11,10.2,,,2,,,3,,,,,,,2.5
68,Aquasphere Greentech Solutions Pvt Ltd,Water Management,Cleantech,Water Management > Water Treatment,"316, 40th Cross Rd, 8th Block, 5th Block, Jayanagar",Bangalore,560082,1,33,25-Apr-11,10.5,4,,2,,,4,,,,,,,5.3
69,Banashree Renewable Energy System Pvt Ltd,Semiconductor,VLSI design,Semiconductor > VLSI Design > IC Design,"#660/B, Ranganthpura, 
Magadi Road",Bangalore,560079,,21,15-Mar-16,5.6,,,2,,,3,,,,,,,3.2
70,Xplorazzi Adventures Pvt Ltd,Drones,Computer vision,Drones > Computer Vision > 360 degree Photography & Videography,"515, 12th Main Rd, Sector 7, HSR Layout, ",Bangalore,560102,3,21,8-Jul-15,6.3,4,33,1,,,3,,,,,,,5.9
71,Coalition House Pvt Ltd,Product Design,Enterprise Solutions,Product Design > Collabration for Startups,"91 Springboard, 3rd floor, Nanjayya Reddy Layout, 8th Block Koramangala",Bangalore,560095,1,7,5-Jun-18,3.4,,,1,,,2,Paid POC,,,,,,1.4
72,Primerail Infralabs Pvt Ltd,Smart Cities,smart city,Smart City > Rail,"301, Wings of Eagles,
#86, SS Commercial Estate,
Varthur Road, C V Raman Nagar",Bangalore,560093,3,20,14-Sep-17,4.1,3,,2,,,3,,,,,,,3.3
73,Makerinme Technologies Pvt Ltd,Education,"ADAS, Embedded, and IOT",Education > Robotic kits,"1176, 12th B main, HAL 2nd stage, Indiranagar",Bangalore,560008,1,20,10-Feb-16,5.7,2,34,2,,,4,,,,,,,5.8
